"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"S000007402" "MATCH" "1" "" "S. cerevisiae" "" "" "YER137C-A" "S000007402" "TransposableElementGene"
"S000003048" "MATCH" "1" "MPC1" "S. cerevisiae" "Mitochondrial Pyruvate Carrier" "393" "YGL080W" "S000003048" "ORF"
"S000004379" "MATCH" "1" "REH1" "S. cerevisiae" "REI1 Homolog" "1299" "YLR387C" "S000004379" "ORF"
"S000007403" "MATCH" "1" "" "S. cerevisiae" "" "" "YER159C-A" "S000007403" "TransposableElementGene"
"S000003049" "MATCH" "1" "" "S. cerevisiae" "" "963" "YGL081W" "S000003049" "ORF"
"S000004374" "MATCH" "1" "NAM2" "S. cerevisiae" "Nuclear Accommodation of Mitochondria" "2685" "YLR382C" "S000004374" "ORF"
"S000007400" "MATCH" "1" "" "S. cerevisiae" "" "" "YDR365W-A" "S000007400" "TransposableElementGene"
"S000004373" "MATCH" "1" "CTF3" "S. cerevisiae" "Chromosome Transmission Fidelity" "2202" "YLR381W" "S000004373" "ORF"
"S000007401" "MATCH" "1" "" "S. cerevisiae" "" "" "YDR365W-B" "S000007401" "TransposableElementGene"
"S000003043" "MATCH" "1" "MPS2" "S. cerevisiae" "MonoPolar Spindle" "1164" "YGL075C" "S000003043" "ORF"
"S000004376" "MATCH" "1" "IKI3" "S. cerevisiae" "Insensitive to KIller toxin" "4050" "YLR384C" "S000004376" "ORF"
"S000003044" "MATCH" "1" "RPL7A" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "1662" "YGL076C" "S000003044" "ORF"
"S000004375" "MATCH" "1" "SMC6" "S. cerevisiae" "Structural Maintenance of Chromosomes" "3345" "YLR383W" "S000004375" "ORF"
"S000003045" "MATCH" "1" "HNM1" "S. cerevisiae" "Hyper-resistance to Nitrogen Mustard" "1692" "YGL077C" "S000003045" "ORF"
"S000004370" "MATCH" "1" "SEC61" "S. cerevisiae" "SECretory" "1443" "YLR378C" "S000004370" "ORF"
"S000004372" "MATCH" "1" "CSR1" "S. cerevisiae" "Chs5 Spa2 Rescue" "1227" "YLR380W" "S000004372" "ORF"
"S000003041" "MATCH" "1" "HSF1" "S. cerevisiae" "Heat Shock transcription Factor" "2502" "YGL073W" "S000003041" "ORF"
"S000004319" "MATCH" "1" "TMA10" "S. cerevisiae" "Translation Machinery Associated" "261" "YLR327C" "S000004319" "ORF"
"S000004316" "MATCH" "1" "PEX30" "S. cerevisiae" "PEroXisome related" "1572" "YLR324W" "S000004316" "ORF"
"S000004315" "MATCH" "1" "CWC24" "S. cerevisiae" "Complexed With Cef1p" "780" "YLR323C" "S000004315" "ORF"
"S000005646" "MATCH" "1" "GCY1" "S. cerevisiae" "Galactose-inducible Crystallin-like Yeast protein" "939" "YOR120W" "S000005646" "ORF"
"S000004318" "MATCH" "1" "" "S. cerevisiae" "" "723" "YLR326W" "S000004318" "ORF"
"S000005649" "MATCH" "1" "LEO1" "S. cerevisiae" "LEft Open reading frame" "1395" "YOR123C" "S000005649" "ORF"
"S000004317" "MATCH" "1" "RPL38" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "237" "YLR325C" "S000004317" "ORF"
"S000005648" "MATCH" "1" "PFY1" "S. cerevisiae" "ProFilin of Yeast" "590" "YOR122C" "S000005648" "ORF"
"S000005654" "MATCH" "1" "ADE2" "S. cerevisiae" "ADEnine requiring" "1716" "YOR128C" "S000005654" "ORF"
"S000001297" "MATCH" "1" "CKA1" "S. cerevisiae" "Casein Kinase Alpha subunit" "1119" "YIL035C" "S000001297" "ORF"
"S000004322" "MATCH" "1" "CHS5" "S. cerevisiae" "CHitin Synthase-related" "2016" "YLR330W" "S000004322" "ORF"
"S000005653" "MATCH" "1" "RGA1" "S. cerevisiae" "Rho GTPase Activating Protein" "3024" "YOR127W" "S000005653" "ORF"
"S000001298" "MATCH" "1" "CST6" "S. cerevisiae" "Chromosome STability" "1764" "YIL036W" "S000001298" "ORF"
"S000004325" "MATCH" "1" "RPS25B" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "327" "YLR333C" "S000004325" "ORF"
"S000005656" "MATCH" "1" "ORT1" "S. cerevisiae" "ORnithine Transporter" "879" "YOR130C" "S000005656" "ORF"
"S000001299" "MATCH" "1" "PRM2" "S. cerevisiae" "Pheromone-Regulated Membrane protein" "1971" "YIL037C" "S000001299" "ORF"
"S000004324" "MATCH" "1" "MID2" "S. cerevisiae" "Mating pheromone-Induced Death" "1131" "YLR332W" "S000004324" "ORF"
"S000005655" "MATCH" "1" "AFI1" "S. cerevisiae" "ArF3-Interacting protein" "2682" "YOR129C" "S000005655" "ORF"
"S000005650" "MATCH" "1" "UBP2" "S. cerevisiae" "UBiquitin-specific Protease" "3819" "YOR124C" "S000005650" "ORF"
"S000001293" "MATCH" "1" "ULP2" "S. cerevisiae" "UbL-specific Protease" "3105" "YIL031W" "S000001293" "ORF"
"S000004321" "MATCH" "1" "REC102" "S. cerevisiae" "RECombination" "892" "YLR329W" "S000004321" "ORF"
"S000005652" "MATCH" "1" "IAH1" "S. cerevisiae" "Isoamyl Acetate-Hydrolyzing esterase" "717" "YOR126C" "S000005652" "ORF"
"S000001295" "MATCH" "1" "BCY1" "S. cerevisiae" "Bypass of CYclic-AMP requirement" "1251" "YIL033C" "S000001295" "ORF"
"S000004320" "MATCH" "1" "NMA1" "S. cerevisiae" "Nicotinamide Mononucleotide Adenylyltransferase" "1206" "YLR328W" "S000004320" "ORF"
"S000005651" "MATCH" "1" "CAT5" "S. cerevisiae" "CATabolite repression" "702" "YOR125C" "S000005651" "ORF"
"S000001296" "MATCH" "1" "CAP2" "S. cerevisiae" "CAPping" "864" "YIL034C" "S000001296" "ORF"
"S000001291" "MATCH" "1" "EMA17" "S. cerevisiae" "Efficient Mitochondria targeting-Associated protein" "429" "YIL029C" "S000001291" "ORF"
"S000001292" "MATCH" "1" "SSM4" "S. cerevisiae" "Suppressor of mrna Stability Mutant" "3960" "YIL030C" "S000001292" "ORF"
"S000004308" "MATCH" "1" "TAD3" "S. cerevisiae" "tRNA-specific Adenosine Deaminase" "1093" "YLR316C" "S000004308" "ORF"
"S000005639" "MATCH" "1" "AZF1" "S. cerevisiae" "Asparagine-rich Zinc-Finger" "2745" "YOR113W" "S000005639" "ORF"
"S000004305" "MATCH" "1" "SPH1" "S. cerevisiae" "SPa2 Homolog" "1593" "YLR313C" "S000004305" "ORF"
"S000005636" "MATCH" "1" "TFC7" "S. cerevisiae" "" "1308" "YOR110W" "S000005636" "ORF"
"S000001279" "MATCH" "1" "VID28" "S. cerevisiae" "Vacuolar Import and Degradation" "2766" "YIL017C" "S000001279" "ORF"
"S000004304" "MATCH" "1" "MRPL15" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "762" "YLR312W-A" "S000004304" "ORF"
"S000005635" "MATCH" "1" "INP53" "S. cerevisiae" "INositol polyphosphate 5-Phosphatase" "3324" "YOR109W" "S000005635" "ORF"
"S000004307" "MATCH" "1" "NKP2" "S. cerevisiae" "Non-essential Kinetochore Protein" "462" "YLR315W" "S000004307" "ORF"
"S000005638" "MATCH" "1" "CEX1" "S. cerevisiae" "Cytoplasmic EXport protein" "2286" "YOR112W" "S000005638" "ORF"
"S000004306" "MATCH" "1" "CDC3" "S. cerevisiae" "Cell Division Cycle" "1563" "YLR314C" "S000004306" "ORF"
"S000005637" "MATCH" "1" "" "S. cerevisiae" "" "699" "YOR111W" "S000005637" "ORF"
"S000004312" "MATCH" "1" "MMS22" "S. cerevisiae" "Methyl MethaneSulfonate sensitivity" "4365" "YLR320W" "S000004312" "ORF"
"S000005643" "MATCH" "1" "RPT5" "S. cerevisiae" "Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase" "1305" "YOR117W" "S000005643" "ORF"
"S000001286" "MATCH" "1" "" "S. cerevisiae" "" "570" "YIL024C" "S000001286" "ORF"
"S000004311" "MATCH" "1" "BUD6" "S. cerevisiae" "BUD site selection" "2367" "YLR319C" "S000004311" "ORF"
"S000005642" "MATCH" "1" "RPO31" "S. cerevisiae" "RNA POlymerase" "4383" "YOR116C" "S000005642" "ORF"
"S000005645" "MATCH" "1" "RIO1" "S. cerevisiae" "RIght Open reading frame" "1455" "YOR119C" "S000005645" "ORF"
"S000001288" "MATCH" "1" "IRR1" "S. cerevisiae" "IRRegular cell behavior" "3453" "YIL026C" "S000001288" "ORF"
"S000004313" "MATCH" "1" "SFH1" "S. cerevisiae" "Snf Five Homolog" "1281" "YLR321C" "S000004313" "ORF"
"S000005644" "MATCH" "1" "RTC5" "S. cerevisiae" "Restriction of Telomere Capping" "1704" "YOR118W" "S000005644" "ORF"
"S000001289" "MATCH" "1" "EMC5" "S. cerevisiae" "ER Membrane protein Complex" "426" "YIL027C" "S000001289" "ORF"
"S000001282" "MATCH" "1" "HIS6" "S. cerevisiae" "HIStidine requiring" "786" "YIL020C" "S000001282" "ORF"
"S000001283" "MATCH" "1" "RPB3" "S. cerevisiae" "RNA Polymerase B" "957" "YIL021W" "S000001283" "ORF"
"S000004310" "MATCH" "1" "EST2" "S. cerevisiae" "Ever Shorter Telomeres" "2655" "YLR318W" "S000004310" "ORF"
"S000005641" "MATCH" "1" "TRS33" "S. cerevisiae" "TRapp Subunit" "807" "YOR115C" "S000005641" "ORF"
"S000001284" "MATCH" "1" "TIM44" "S. cerevisiae" "Translocase of the Inner Mitochondrial membrane" "1296" "YIL022W" "S000001284" "ORF"
"S000005640" "MATCH" "1" "DPI34" "S. cerevisiae" "Delta-Psi dependent mitochondrial Import protein of ~34 kDa" "885" "YOR114W" "S000005640" "ORF"
"S000001285" "MATCH" "1" "YKE4" "S. cerevisiae" "Yeast ortholog of mouse KE4" "1041" "YIL023C" "S000001285" "ORF"
"S000001280" "MATCH" "1" "RPL2B" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "1165" "YIL018W" "S000001280" "ORF"
"S000001281" "MATCH" "1" "FAF1" "S. cerevisiae" "Forty (40) S Assembly Factor " "1041" "YIL019W" "S000001281" "ORF"
"S000004338" "MATCH" "1" "CIS1" "S. cerevisiae" "CItrinin Sensitive knockout" "306" "YLR346C" "S000004338" "ORF"
"S000005669" "MATCH" "1" "THI80" "S. cerevisiae" "THIamine metabolism" "960" "YOR143C" "S000005669" "ORF"
"S000003006" "MATCH" "1" "OCH1" "S. cerevisiae" "Outer CHain elongation" "1443" "YGL038C" "S000003006" "ORF"
"S000004337" "MATCH" "1" "" "S. cerevisiae" "" "1530" "YLR345W" "S000004337" "ORF"
"S000005668" "MATCH" "1" "LSC1" "S. cerevisiae" "Ligase of Succinyl-CoA" "990" "YOR142W" "S000005668" "ORF"
"S000003007" "MATCH" "1" "" "S. cerevisiae" "" "1047" "YGL039W" "S000003007" "ORF"
"S000003008" "MATCH" "1" "HEM2" "S. cerevisiae" "HEMe biosynthesis" "1029" "YGL040C" "S000003008" "ORF"
"S000004339" "MATCH" "1" "KAP95" "S. cerevisiae" "KAryoPherin" "2586" "YLR347C" "S000004339" "ORF"
"S000004345" "MATCH" "1" "BUD8" "S. cerevisiae" "BUD site selection" "1812" "YLR353W" "S000004345" "ORF"
"S000005676" "MATCH" "1" "MRPL23" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "492" "YOR150W" "S000005676" "ORF"
"S000003013" "MATCH" "1" "RIM8" "S. cerevisiae" "Regulator of IME2" "1629" "YGL045W" "S000003013" "ORF"
"S000004344" "MATCH" "1" "LUG1" "S. cerevisiae" "Lets [URE3]/ure2 Grow" "2424" "YLR352W" "S000004344" "ORF"
"S000005675" "MATCH" "1" "SMP3" "S. cerevisiae" "Stable Maintenance of pSRI" "1551" "YOR149C" "S000005675" "ORF"
"S000004347" "MATCH" "1" "ILV5" "S. cerevisiae" "IsoLeucine-plus-Valine requiring" "1188" "YLR355C" "S000004347" "ORF"
"S000005678" "MATCH" "1" "ATG40" "S. cerevisiae" "AuTophaGy related" "771" "YOR152C" "S000005678" "ORF"
"S000003015" "MATCH" "1" "ALG13" "S. cerevisiae" "Asparagine-Linked Glycosylation" "609" "YGL047W" "S000003015" "ORF"
"S000004346" "MATCH" "1" "TAL1" "S. cerevisiae" "TransALdolase" "1008" "YLR354C" "S000004346" "ORF"
"S000005677" "MATCH" "1" "RPB2" "S. cerevisiae" "RNA Polymerase B" "3675" "YOR151C" "S000005677" "ORF"
"S000003016" "MATCH" "1" "RPT6" "S. cerevisiae" "Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase" "1218" "YGL048C" "S000003016" "ORF"
"S000004340" "MATCH" "1" "DIC1" "S. cerevisiae" "DIcarboxylate Carrier" "897" "YLR348C" "S000004340" "ORF"
"S000005671" "MATCH" "1" "PNO1" "S. cerevisiae" "Partner of NOb1" "825" "YOR145C" "S000005671" "ORF"
"S000004343" "MATCH" "1" "NIT3" "S. cerevisiae" "NITrilase superfamily" "876" "YLR351C" "S000004343" "ORF"
"S000005674" "MATCH" "1" "SPP2" "S. cerevisiae" "Suppressor of PrP" "558" "YOR148C" "S000005674" "ORF"
"S000003011" "MATCH" "1" "DST1" "S. cerevisiae" "DNA Strand Transfer" "930" "YGL043W" "S000003011" "ORF"
"S000004342" "MATCH" "1" "ORM2" "S. cerevisiae" "" "651" "YLR350W" "S000004342" "ORF"
"S000005673" "MATCH" "1" "MDM32" "S. cerevisiae" "Mitochondrial Distribution and Morphology" "1869" "YOR147W" "S000005673" "ORF"
"S000003012" "MATCH" "1" "RNA15" "S. cerevisiae" "poly(A) mRNA metabolism" "891" "YGL044C" "S000003012" "ORF"
"S000005670" "MATCH" "1" "ELG1" "S. cerevisiae" "Enhanced Level of Genomic instability" "2376" "YOR144C" "S000005670" "ORF"
"S000004327" "MATCH" "1" "NUP2" "S. cerevisiae" "NUclear Pore" "2163" "YLR335W" "S000004327" "ORF"
"S000005658" "MATCH" "1" "VPS17" "S. cerevisiae" "Vacuolar Protein Sorting" "1656" "YOR132W" "S000005658" "ORF"
"S000005657" "MATCH" "1" "" "S. cerevisiae" "" "657" "YOR131C" "S000005657" "ORF"
"S000004329" "MATCH" "1" "VRP1" "S. cerevisiae" "VeRProlin" "2454" "YLR337C" "S000004329" "ORF"
"S000004328" "MATCH" "1" "SGD1" "S. cerevisiae" "Suppressor of Glycerol Defect" "2700" "YLR336C" "S000004328" "ORF"
"S000005659" "MATCH" "1" "EFT1" "S. cerevisiae" "Elongation Factor Two" "2529" "YOR133W" "S000005659" "ORF"
"S000004334" "MATCH" "1" "FKS1" "S. cerevisiae" "FK506 Sensitivity" "5631" "YLR342W" "S000004334" "ORF"
"S000004333" "MATCH" "1" "SPO77" "S. cerevisiae" "SPOrulation" "1434" "YLR341W" "S000004333" "ORF"
"S000005664" "MATCH" "1" "RUP1" "S. cerevisiae" "Rsp5-Ubp2 interacting Protein" "2016" "YOR138C" "S000005664" "ORF"
"S000003003" "MATCH" "1" "MIG1" "S. cerevisiae" "Multicopy Inhibitor of GAL gene expression" "1515" "YGL035C" "S000003003" "ORF"
"S000004336" "MATCH" "1" "RPL26A" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "831" "YLR344W" "S000004336" "ORF"
"S000005667" "MATCH" "1" "ARP8" "S. cerevisiae" "Actin-Related Protein" "2646" "YOR141C" "S000005667" "ORF"
"S000003004" "MATCH" "1" "" "S. cerevisiae" "" "2730" "YGL036W" "S000003004" "ORF"
"S000004335" "MATCH" "1" "GAS2" "S. cerevisiae" "Glycophospholipid-Anchored Surface protein" "1668" "YLR343W" "S000004335" "ORF"
"S000005666" "MATCH" "1" "SFL1" "S. cerevisiae" "Suppressor gene for FLocculation" "2301" "YOR140W" "S000005666" "ORF"
"S000003005" "MATCH" "1" "PNC1" "S. cerevisiae" "Pyrazinamidase and NiCotinamidase" "651" "YGL037C" "S000003005" "ORF"
"S000005660" "MATCH" "1" "BAG7" "S. cerevisiae" "" "1230" "YOR134W" "S000005660" "ORF"
"S000004332" "MATCH" "1" "RPP0" "S. cerevisiae" "Ribosomal Protein P0" "939" "YLR340W" "S000004332" "ORF"
"S000005663" "MATCH" "1" "SIA1" "S. cerevisiae" "Suppressor of eIF5A" "1869" "YOR137C" "S000005663" "ORF"
"S000003000" "MATCH" "1" "AGA2" "S. cerevisiae" "a-AGglutinin" "264" "YGL032C" "S000003000" "ORF"
"S000005662" "MATCH" "1" "IDH2" "S. cerevisiae" "Isocitrate DeHydrogenase" "1110" "YOR136W" "S000005662" "ORF"
"S000003001" "MATCH" "1" "HOP2" "S. cerevisiae" "HOmologous Pairing" "777" "YGL033W" "S000003001" "ORF"
"S000000839" "MATCH" "1" "PHM8" "S. cerevisiae" "PHosphate Metabolism" "966" "YER037W" "S000000839" "ORF"
"S000000838" "MATCH" "1" "ARB1" "S. cerevisiae" "ATP-binding cassette protein involved in Ribosome Biogenesis" "1833" "YER036C" "S000000838" "ORF"
"S000000837" "MATCH" "1" "EDC2" "S. cerevisiae" "Enhancer of mRNA DeCapping" "438" "YER035W" "S000000837" "ORF"
"S000000836" "MATCH" "1" "" "S. cerevisiae" "" "558" "YER034W" "S000000836" "ORF"
"S000000831" "MATCH" "1" "SMB1" "S. cerevisiae" "SmB/B' homolog" "591" "YER029C" "S000000831" "ORF"
"S000000830" "MATCH" "1" "MIG3" "S. cerevisiae" "Multicopy Inhibitor of Growth" "1185" "YER028C" "S000000830" "ORF"
"S000000835" "MATCH" "1" "ZRG8" "S. cerevisiae" "Zinc Regulated Gene" "3231" "YER033C" "S000000835" "ORF"
"S000000834" "MATCH" "1" "FIR1" "S. cerevisiae" "Factor Interacting with REF2" "2631" "YER032W" "S000000834" "ORF"
"S000000833" "MATCH" "1" "YPT31" "S. cerevisiae" "Yeast Protein Two" "672" "YER031C" "S000000833" "ORF"
"S000000832" "MATCH" "1" "CHZ1" "S. cerevisiae" "Chaperone for Htz1/H2A-H2B dimer" "462" "YER030W" "S000000832" "ORF"
"S000006148" "MATCH" "1" "ALG5" "S. cerevisiae" "Asparagine-Linked Glycosylation" "1005" "YPL227C" "S000006148" "ORF"
"S000006149" "MATCH" "1" "CET1" "S. cerevisiae" "Capping Enzyme Triphosphatase" "1650" "YPL228W" "S000006149" "ORF"
"S000006146" "MATCH" "1" "" "S. cerevisiae" "" "441" "YPL225W" "S000006146" "ORF"
"S000006147" "MATCH" "1" "NEW1" "S. cerevisiae" "Nu+" "3591" "YPL226W" "S000006147" "ORF"
"S000006144" "MATCH" "1" "GRE1" "S. cerevisiae" "Genes de Respuesta a Estres (spanish for stress responsive genes)" "507" "YPL223C" "S000006144" "ORF"
"S000006145" "MATCH" "1" "MMT2" "S. cerevisiae" "Mitochondrial Metal Transporter" "1455" "YPL224C" "S000006145" "ORF"
"S000006142" "MATCH" "1" "FLC1" "S. cerevisiae" "FLavin Carrier" "2382" "YPL221W" "S000006142" "ORF"
"S000006143" "MATCH" "1" "FMP40" "S. cerevisiae" "Found in Mitochondrial Proteome" "2067" "YPL222W" "S000006143" "ORF"
"S000006140" "MATCH" "1" "PCL8" "S. cerevisiae" "Pho85 CycLin" "1479" "YPL219W" "S000006140" "ORF"
"S000007472" "MATCH" "1" "HUG1" "S. cerevisiae" "" "207" "YML058W-A" "S000007472" "ORF"
"S000006141" "MATCH" "1" "RPL1A" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "654" "YPL220W" "S000006141" "ORF"
"S000000828" "MATCH" "1" "CHO1" "S. cerevisiae" "CHOline requiring" "831" "YER026C" "S000000828" "ORF"
"S000000827" "MATCH" "1" "GCD11" "S. cerevisiae" "General Control Derepressed" "1584" "YER025W" "S000000827" "ORF"
"S000000826" "MATCH" "1" "YAT2" "S. cerevisiae" "" "2772" "YER024W" "S000000826" "ORF"
"S000000825" "MATCH" "1" "PRO3" "S. cerevisiae" "PROline requiring" "861" "YER023W" "S000000825" "ORF"
"S000000829" "MATCH" "1" "GAL83" "S. cerevisiae" "GALactose metabolism" "1254" "YER027C" "S000000829" "ORF"
"S000000820" "MATCH" "1" "SPC25" "S. cerevisiae" "Spindle Pole Component" "666" "YER018C" "S000000820" "ORF"
"S000000824" "MATCH" "1" "SRB4" "S. cerevisiae" "Suppressor of RNA polymerase B" "2064" "YER022W" "S000000824" "ORF"
"S000000823" "MATCH" "1" "RPN3" "S. cerevisiae" "Regulatory Particle Non-ATPase" "1572" "YER021W" "S000000823" "ORF"
"S000000822" "MATCH" "1" "GPA2" "S. cerevisiae" "G Protein Alpha subunit" "1350" "YER020W" "S000000822" "ORF"
"S000000821" "MATCH" "1" "ISC1" "S. cerevisiae" "Inositol phosphoSphingolipid phospholipase C" "1434" "YER019W" "S000000821" "ORF"
"S000006139" "MATCH" "1" "SAR1" "S. cerevisiae" "Secretion-Associated, Ras-related" "712" "YPL218W" "S000006139" "ORF"
"S000006137" "MATCH" "1" "" "S. cerevisiae" "" "3309" "YPL216W" "S000006137" "ORF"
"S000006138" "MATCH" "1" "BMS1" "S. cerevisiae" "BMh Sensitive" "3552" "YPL217C" "S000006138" "ORF"
"S000006135" "MATCH" "1" "THI6" "S. cerevisiae" "THIamine biosynthesis" "1623" "YPL214C" "S000006135" "ORF"
"S000006136" "MATCH" "1" "CBP3" "S. cerevisiae" "Cytochrome B mRNA Processing" "1008" "YPL215W" "S000006136" "ORF"
"S000006133" "MATCH" "1" "PUS1" "S. cerevisiae" "PseudoUridine Synthase" "1635" "YPL212C" "S000006133" "ORF"
"S000006134" "MATCH" "1" "LEA1" "S. cerevisiae" "Looks Exceptionally like U2A" "717" "YPL213W" "S000006134" "ORF"
"S000006131" "MATCH" "1" "SRP72" "S. cerevisiae" "Signal Recognition Particle" "1923" "YPL210C" "S000006131" "ORF"
"S000006132" "MATCH" "1" "NIP7" "S. cerevisiae" "Nuclear ImPort" "546" "YPL211W" "S000006132" "ORF"
"S000006130" "MATCH" "1" "IPL1" "S. cerevisiae" "Increase in PLoidy" "1104" "YPL209C" "S000006130" "ORF"
"S000178054" "MATCH" "1" "RDT1" "S. cerevisiae" "Ribosomally Detected Transcript" "87" "YCL054W-A" "S000178054" "ORF"
"S000000859" "MATCH" "1" "HMF1" "S. cerevisiae" "Homologous Mmf1p Factor" "390" "YER057C" "S000000859" "ORF"
"S000000858" "MATCH" "1" "FCY2" "S. cerevisiae" "FluoroCYtosine resistance" "1602" "YER056C" "S000000858" "ORF"
"S000000853" "MATCH" "1" "JHD1" "S. cerevisiae" "JmjC domain-containing Histone Demethylase" "1479" "YER051W" "S000000853" "ORF"
"S000000852" "MATCH" "1" "RSM18" "S. cerevisiae" "Ribosomal Small subunit of Mitochondria" "417" "YER050C" "S000000852" "ORF"
"S000000851" "MATCH" "1" "TPA1" "S. cerevisiae" "Termination and PolyAdenylation" "1935" "YER049W" "S000000851" "ORF"
"S000000850" "MATCH" "1" "CAJ1" "S. cerevisiae" "" "1176" "YER048C" "S000000850" "ORF"
"S000000857" "MATCH" "1" "HIS1" "S. cerevisiae" "HIStidine" "894" "YER055C" "S000000857" "ORF"
"S000000856" "MATCH" "1" "GIP2" "S. cerevisiae" "Glc7-Interacting Protein" "1647" "YER054C" "S000000856" "ORF"
"S000000855" "MATCH" "1" "PIC2" "S. cerevisiae" "PI Carrier" "903" "YER053C" "S000000855" "ORF"
"S000000854" "MATCH" "1" "HOM3" "S. cerevisiae" "HOMoserine requiring" "1584" "YER052C" "S000000854" "ORF"
"S000006168" "MATCH" "1" "" "S. cerevisiae" "" "1572" "YPL247C" "S000006168" "ORF"
"S000000860" "MATCH" "1" "PET117" "S. cerevisiae" "PETite colonies" "324" "YER058W" "S000000860" "ORF"
"S000006169" "MATCH" "1" "GAL4" "S. cerevisiae" "GALactose metabolism" "2646" "YPL248C" "S000006169" "ORF"
"S000006166" "MATCH" "1" "" "S. cerevisiae" "" "1365" "YPL245W" "S000006166" "ORF"
"S000006167" "MATCH" "1" "RBD2" "S. cerevisiae" "" "789" "YPL246C" "S000006167" "ORF"
"S000006164" "MATCH" "1" "SRP68" "S. cerevisiae" "Signal Recognition Particle" "1800" "YPL243W" "S000006164" "ORF"
"S000006165" "MATCH" "1" "HUT1" "S. cerevisiae" "Homolog of UDP-galactose Transporter" "1020" "YPL244C" "S000006165" "ORF"
"S000007496" "MATCH" "1" "IGO2" "S. cerevisiae" "Initiation of G zerO" "396" "YHR132W-A" "S000007496" "ORF"
"S000006162" "MATCH" "1" "CIN2" "S. cerevisiae" "Chromosome INstability" "887" "YPL241C" "S000006162" "ORF"
"S000006163" "MATCH" "1" "IQG1" "S. cerevisiae" "IQGAP-related protein" "4488" "YPL242C" "S000006163" "ORF"
"S000006160" "MATCH" "1" "YAR1" "S. cerevisiae" "Yeast Ankyrin Repeat" "603" "YPL239W" "S000006160" "ORF"
"S000006161" "MATCH" "1" "HSP82" "S. cerevisiae" "Heat Shock Protein" "2130" "YPL240C" "S000006161" "ORF"
"S000000849" "MATCH" "1" "SAP1" "S. cerevisiae" "Sin1 Associated Protein" "2694" "YER047C" "S000000849" "ORF"
"S000000848" "MATCH" "1" "SPO73" "S. cerevisiae" "SPOrulation" "432" "YER046W" "S000000848" "ORF"
"S000000847" "MATCH" "1" "ACA1" "S. cerevisiae" "ATF/CREB Activator" "1470" "YER045C" "S000000847" "ORF"
"S000000842" "MATCH" "1" "GLN3" "S. cerevisiae" "GLutamiNe metabolism" "2193" "YER040W" "S000000842" "ORF"
"S000000841" "MATCH" "1" "HVG1" "S. cerevisiae" "Homologous to VRG4" "750" "YER039C" "S000000841" "ORF"
"S000000840" "MATCH" "1" "KRE29" "S. cerevisiae" "Killer toxin REsistant" "1395" "YER038C" "S000000840" "ORF"
"S000000846" "MATCH" "1" "ERG28" "S. cerevisiae" "ERGosterol biosynthesis" "447" "YER044C" "S000000846" "ORF"
"S000000845" "MATCH" "1" "SAH1" "S. cerevisiae" "S-Adenosyl-l-Homocysteine hydrolase" "1350" "YER043C" "S000000845" "ORF"
"S000000844" "MATCH" "1" "MXR1" "S. cerevisiae" "peptide Methionine sulfoXide Reductase" "555" "YER042W" "S000000844" "ORF"
"S000000843" "MATCH" "1" "YEN1" "S. cerevisiae" "" "2280" "YER041W" "S000000843" "ORF"
"S000006157" "MATCH" "1" "ENV7" "S. cerevisiae" "late ENdosome and Vacuole interface function" "1095" "YPL236C" "S000006157" "ORF"
"S000007488" "MATCH" "1" "CMC2" "S. cerevisiae" "Cx9C Motif-Containing protein" "415" "YBL059C-A" "S000007488" "ORF"
"S000006158" "MATCH" "1" "SUI3" "S. cerevisiae" "SUppressor of Initiator codon" "858" "YPL237W" "S000006158" "ORF"
"S000006155" "MATCH" "1" "VMA11" "S. cerevisiae" "Vacuolar Membrane Atpase" "495" "YPL234C" "S000006155" "ORF"
"S000006156" "MATCH" "1" "RVB2" "S. cerevisiae" "RuVB-like" "1416" "YPL235W" "S000006156" "ORF"
"S000006153" "MATCH" "1" "SSO1" "S. cerevisiae" "Supressor of Sec One" "873" "YPL232W" "S000006153" "ORF"
"S000006154" "MATCH" "1" "NSL1" "S. cerevisiae" "Nnf1 Synthetic Lethal" "651" "YPL233W" "S000006154" "ORF"
"S000006151" "MATCH" "1" "USV1" "S. cerevisiae" "Up in StarVation" "1176" "YPL230W" "S000006151" "ORF"
"S000006152" "MATCH" "1" "FAS2" "S. cerevisiae" "Fatty Acid Synthetase" "5664" "YPL231W" "S000006152" "ORF"
"S000006150" "MATCH" "1" "" "S. cerevisiae" "" "621" "YPL229W" "S000006150" "ORF"
"S000113559" "MATCH" "1" "MIN9" "S. cerevisiae" "mitochondrial MINi protein of 9 kDa" "228" "YKL023C-A" "S000113559" "ORF"
"S000113557" "MATCH" "1" "" "S. cerevisiae" "" "258" "YDL007C-A" "S000113557" "ORF"
